,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
368,0.44677300453186036,0.00584599172768631,0.009135103225708008,0.0002364722727407682,0.1,2,1024,0.0001,1e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.616,0.576,0.596,0.588,0.62,0.7692,0.016666133324799742,590,0.616,0.576,0.596,0.588,0.62,0.5992,0.016666133324799742,590
771,0.08524856567382813,0.002915028489613998,0.005969476699829101,0.002192757053090574,0.3,4,128,0.0001,1e-05,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.62,0.572,0.616,0.576,0.612,0.7692,0.02076920797719549,590,0.62,0.572,0.616,0.576,0.612,0.5992,0.02076920797719549,590
769,0.08820013999938965,0.002390495364694679,0.004857635498046875,0.00010551498061997393,0.3,4,128,0.0001,3e-06,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.62,0.572,0.616,0.576,0.612,0.7692,0.02076920797719549,590,0.62,0.572,0.616,0.576,0.612,0.5992,0.02076920797719549,590
595,0.2019352436065674,0.003552400954916655,0.008038139343261719,0.00015065583799151418,0.1,6,256,0.0001,1e-05,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.62,0.576,0.604,0.584,0.612,0.7692,0.016666133324799742,590,0.62,0.576,0.604,0.584,0.612,0.5992,0.016666133324799742,590
594,0.20507054328918456,0.00602992481453032,0.00798206329345703,0.0003497947650945309,0.1,6,256,0.0001,5e-06,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.62,0.576,0.604,0.584,0.612,0.7692,0.016666133324799742,590,0.62,0.576,0.604,0.584,0.612,0.5992,0.016666133324799742,590
593,0.20331573486328125,0.0033249835894158036,0.008059310913085937,0.00020624286976142958,0.1,6,256,0.0001,3e-06,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.62,0.576,0.604,0.584,0.612,0.7692,0.016666133324799742,590,0.62,0.576,0.604,0.584,0.612,0.5992,0.016666133324799742,590
592,0.2064128875732422,0.004574335690225506,0.008462190628051758,0.0006940976377701655,0.1,6,256,0.0001,1e-06,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 256, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.62,0.576,0.604,0.584,0.612,0.7692,0.016666133324799742,590,0.62,0.576,0.604,0.584,0.612,0.5992,0.016666133324799742,590
770,0.08971819877624512,0.0035004943858590264,0.004780721664428711,4.348571882245648e-05,0.3,4,128,0.0001,5e-06,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.62,0.572,0.616,0.576,0.612,0.7692,0.02076920797719549,590,0.62,0.572,0.616,0.576,0.612,0.5992,0.02076920797719549,590
369,0.4452361106872559,0.009922390950263671,0.009099721908569336,0.00010414269816590419,0.1,2,1024,0.0001,3e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0001, 'reg_lambda': 3e-06}",0.616,0.576,0.596,0.588,0.62,0.7692,0.016666133324799742,590,0.616,0.576,0.596,0.588,0.62,0.5992,0.016666133324799742,590
370,0.4413007259368896,0.007976802864827295,0.009034204483032226,0.0001310448281822304,0.1,2,1024,0.0001,5e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0001, 'reg_lambda': 5e-06}",0.616,0.576,0.596,0.588,0.62,0.7692,0.016666133324799742,590,0.616,0.576,0.596,0.588,0.62,0.5992,0.016666133324799742,590
371,0.44271421432495117,0.006142785555714967,0.009128808975219727,0.00016028446821168794,0.1,2,1024,0.0001,1e-05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0001, 'reg_lambda': 1e-05}",0.616,0.576,0.596,0.588,0.62,0.7692,0.016666133324799742,590,0.616,0.576,0.596,0.588,0.62,0.5992,0.016666133324799742,590
768,0.08805012702941895,0.007324037503071163,0.004774856567382813,5.50199418183587e-05,0.3,4,128,0.0001,1e-06,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 128, 'reg_alpha': 0.0001, 'reg_lambda': 1e-06}",0.62,0.572,0.616,0.576,0.612,0.7692,0.02076920797719549,590,0.62,0.572,0.616,0.576,0.612,0.5992,0.02076920797719549,590
601,0.2003988265991211,0.002759439428119926,0.007941150665283203,9.706050516211458e-05,0.1,6,256,0.001,3e-06,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.624,0.576,0.608,0.58,0.604,0.7684000000000001,0.017995555006723205,602,0.624,0.576,0.608,0.58,0.604,0.5984,0.017995555006723205,602
